75-6,6,15.703266,1.402284,201.496887,-7.47942e-03,-5.80698e-02
75-9,6,17.210165,1.435483,3.838124,1.04126e-02,-7.18264e-02
75-32,6,16.676558,1.404078,23.055191,1.26932e-02,-3.87473e-02
75-38,6,15.772585,1.408044,115.744286,2.18842e-02,-4.51077e-02
75-42,6,18.507360,1.432928,0.888746,1.19532e-02,-4.78376e-02
75-44,3,20.950617,1.800584,-0.021779,1.27528e-01,-1.67105e-01
75-47,6,17.523462,1.367362,9.804531,1.73781e-03,-1.86841e-02
75-49,3,20.118227,2.684708,0.062902,4.30060e-04,1.42227e-01
75-55,6,15.685956,1.379661,202.209412,-2.24152e-03,-1.33424e-02
75-56,3,20.247168,3.956203,0.034533,-4.92501e-02,1.42909e-01
75-66,6,17.004547,1.408152,23.588570,-6.96782e-03,-5.55906e-02
75-74,3,23.072903,18.020567,-0.020333,-8.35863e-01,3.98417e-01
75-79,6,15.907887,1.412308,119.538452,3.33445e-03,-5.25476e-02
75-83,6,17.010887,1.364664,4.248133,9.21932e-03,-5.44321e-02
75-84,6,18.187691,1.398592,0.737141,-3.29301e-02,-8.38771e-02
75-92,6,18.155771,1.428943,0.456386,5.19670e-02,-5.03877e-02
75-95,6,17.056126,1.397391,1.719092,4.24451e-02,-4.27793e-02
75-100,6,16.604065,1.447634,3.658400,6.01734e-02,-2.96671e-02
75-105,3,21.294683,2.626158,-0.034313,2.16379e-01,-1.26880e-01
75-106,3,21.552031,3.036325,-0.001905,3.63829e-01,-1.52312e-01
75-114,6,16.988054,1.413184,0.942841,6.96200e-02,-4.16892e-02
75-123,3,21.632973,1.514234,-0.004071,1.06500e-01,-4.68566e-02
75-157,6,15.730310,1.416394,35.842991,8.42886e-02,-4.13109e-02
75-160,6,16.408394,1.395717,10.304017,7.76815e-02,-1.60551e-02
75-161,3,22.342722,2.970168,0.009498,2.57934e-01,3.08939e-01
75-164,6,15.068046,1.429485,122.305321,7.29280e-02,-1.19277e-02
75-174,6,15.591096,1.406180,22.246489,8.12895e-02,-1.86396e-02
75-177,6,16.238497,1.412871,21.393372,7.86811e-02,-1.54806e-02
75-179,6,17.418968,1.385119,1.467847,5.65400e-02,-7.89644e-03
75-181,6,16.368530,1.423266,17.412136,5.65535e-02,-4.55959e-02
75-185,3,24.610342,2.970168,0.049007,3.46296e-01,-6.99491e-01
75-188,6,16.132303,1.398944,21.417370,6.36420e-02,-1.41961e-02
75-191,6,17.209774,1.393100,3.730194,5.23339e-02,-4.09407e-02
75-195,6,19.121140,1.388212,0.291936,4.88730e-02,-2.13686e-02
75-205,6,17.564554,1.379509,0.752182,3.82023e-02,-1.48973e-02
75-206,6,17.901733,1.389086,0.497808,4.29818e-02,-2.27244e-02
75-220,6,17.487476,1.380291,2.784941,6.78852e-02,-1.55872e-02
75-221,3,22.471434,1.903589,-0.028355,-4.23829e-02,4.84041e-02
75-229,6,15.577081,1.370271,80.839798,6.20243e-02,-1.26107e-02
75-235,6,17.553146,1.392460,2.932258,5.25035e-02,-1.16609e-02
75-238,6,15.145483,1.336791,363.969177,5.18312e-02,-2.50634e-02
75-240,3,20.757669,2.529227,0.034775,-6.72025e-02,-2.99479e-01
75-243,6,15.280856,1.359706,172.510559,5.44389e-02,-3.15307e-02
75-248,6,15.752495,1.362192,91.738571,6.24866e-02,-5.94693e-03
75-251,6,16.834736,1.355032,8.444201,1.81487e-02,-5.40399e-02
75-253,6,16.073275,1.361261,55.051270,4.43957e-02,-5.51847e-02
75-255,6,16.211739,1.358279,17.775164,5.28253e-02,-4.35654e-02
75-258,6,17.580284,1.362682,2.387129,6.09154e-02,-2.55118e-02
75-264,6,18.537468,1.466449,0.593964,1.16959e-02,-5.21386e-02
75-268,6,18.421001,1.390178,1.558671,3.37912e-03,-3.16847e-02
75-269,6,18.359383,1.400937,2.141060,-1.01310e-02,-2.47603e-02
75-270,3,20.125513,1.774310,0.057550,1.60297e-03,-6.62981e-02
75-271,6,19.160358,1.453603,0.202866,-4.19908e-04,-3.36159e-02
75-273,6,18.778244,1.393173,0.987452,1.45629e-02,-4.84353e-02
75-275,6,19.460032,1.416973,0.151678,5.82564e-02,-2.53777e-02
75-280,6,17.959782,1.430231,1.537730,2.65867e-02,-5.28027e-02
75-281,6,19.408842,1.430640,0.278792,4.17046e-03,-4.33960e-02
75-283,6,19.607033,1.384331,0.322779,-7.06365e-03,-7.43470e-02
75-286,6,18.553101,1.398116,0.602558,1.71543e-02,-5.92147e-02
